StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,coder,coder_4_TEXT,pmcid,protocol,include,participants,participants_4_TEXT,journal,pubYear,impactFactor,verbatim,powerCalcType,powerCalcType_4_TEXT,multiple,statsKnowledge,version,version_1_TEXT,power,power_1_TEXT,alpha,alpha_1_TEXT,sampleSize,sampleSize_1_TEXT,effectSizeType,effectSizeType_6_TEXT,effectSizeType_7_TEXT,effectSizeValue,effectSizeValue_1_TEXT,statTest,statTest_5_TEXT,statTest_6_TEXT,otherRepro,reproducible,reproducible_2_TEXT,justification,justification_5_TEXT,multCompare,multCompareText,ANOVAwithinBetween,match,matchText,error,errorText,impact,commentsCalc,commentsGeneral
2022-06-01 02:22:26,2022-06-01 02:25:40,IP Address,171.66.12.20,100,194,True,2022-06-01 02:25:41,R_2ZCUEgRo7kajv6N,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC5419106,No,Include,Humans,,Investigative and Clinical Urology,2017,NA,"Our approach to the statistical data analysis could be named “harmonizing statistical evidences and predictions.” It is rather fruitful because it combines not only confidence interval estimates for parameters, for the standardized effect size dC, for the achieved power (1–β), and planned sample sizes, but prediction intervals for them and for p-values, as well as estimates of posterior probabilities for the null hypothesis P(H0│D) and Bayes factors BF10. For parameter estimation and hypothesis testing the complementary combination of frequentist (orthodox) and Bayesian approaches was used. Nonparametric bootstrapping and permutation (Monte Carlo) procedures were realized with the number of replicates and/or random permutations as large as possible (but no less than 1 million). For measurable variables (stone size and density) medians and their 95% confidence limits were calculated. Software PAST [10], BoxPlotR (http://boxplot.tyerslab.com/), JASP (https://jasp-stats.org/), G*Power [11] and LePrep (http://lmrs.univ-rouen.fr/Persopage/Lecoutre/PAC.htm) have been involved.

",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:23:18,2022-06-01 02:27:31,IP Address,171.66.12.148,100,253,True,2022-06-01 02:27:31,R_1Io2uD0lHuaAHpX,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC5538937,No,Include,Humans,,Journal of Aging and Health,2018,2.168,"Statistical significant findings from the regression models at the p < .01 level were stratified accordingly. Age stratification was performed based on age quartiles. We used the G*Power software (Faul, Erdfelder, Buchner, & Lang, 2009) to calculate power achieved in the regression analyses. We found that even in the stratified, fully adjusted regression models, there was sufficient power to observe even small effects as statistically significant. ",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:25:47,2022-06-01 02:27:57,IP Address,171.66.12.20,100,129,True,2022-06-01 02:27:57,R_Cjd4QVq4exLeNfX,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC5538937,No,Include,Humans,,Journal of Aging and Health,2017,1.660,"We used the G*Power software (Faul, Erdfelder, Buchner, & Lang, 2009) to calculate power achieved in the regression analyses. We found that even in the stratified, fully adjusted regression models, there was sufficient power to observe even small effects as statistically significant. In addition, a quadratic term for each independent lipoprotein was included in each model to determine any nonlinear effects with each outcome measure. All reported statistics are double sided and with alpha = .01 overall to reduce Type-I error and all betas (β) are standardized. All statistical analyses were performed using SAS, version 9.4 (SAS Institute, Inc., Cary, NC).
",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:27:33,2022-06-01 02:31:17,IP Address,171.66.12.148,100,224,True,2022-06-01 02:31:17,R_2Bb8vmOihSqXhD8,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC8146508,No,Include,Humans,,Sports (Basel),2021,NA,"Sixty (N = 60; age: 21.03 ± 2.1 years, body weight: 59.8 ± 9.7 kg, body height: 166.2 ± 6.5 cm) healthy female university students (power analysis: 0.921; G*Power ver. 3.1; FrankFaul, Universitat Kiel, Kiel, Germany) completed the experimental procedures (Table 1). ",Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:31:18,2022-06-01 02:34:45,IP Address,171.66.12.148,100,206,True,2022-06-01 02:34:45,R_2tf1A1BaD3Zz1H4,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC7195684,No,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:34:47,2022-06-01 02:37:27,IP Address,171.66.12.148,100,159,True,2022-06-01 02:37:27,R_yUWOxwAQWmikEHT,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC5419106,No,Include,Humans,,Investigative and Clinical Urology,2017,NA,"Our approach to the statistical data analysis could be named “harmonizing statistical evidences and predictions.” It is rather fruitful because it combines not only confidence interval estimates for parameters, for the standardized effect size dC, for the achieved power (1–β), and planned sample sizes, but prediction intervals for them and for p-values, as well as estimates of posterior probabilities for the null hypothesis P(H0│D) and Bayes factors BF10. For parameter estimation and hypothesis testing the complementary combination of frequentist (orthodox) and Bayesian approaches was used. Nonparametric bootstrapping and permutation (Monte Carlo) procedures were realized with the number of replicates and/or random permutations as large as possible (but no less than 1 million). For measurable variables (stone size and density) medians and their 95% confidence limits were calculated. Software PAST [10], BoxPlotR (http://boxplot.tyerslab.com/), JASP (https://jasp-stats.org/), G*Power [11] and LePrep (http://lmrs.univ-rouen.fr/Persopage/Lecoutre/PAC.htm) have been involved.",Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 02:44:36,2022-06-01 02:49:27,IP Address,171.66.12.20,100,290,True,2022-06-01 02:49:27,R_1q1H37QJokLqzeU,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC8676939,No,Include,Humans,,Behavior Research Methods,2021,4.425,"This sample size was determined a priori using G*Power (Faul et al., 2007, 2009) based on an effect size derived from a previous paired-samples t test contrasting pre- and postexercise antisaccade RTs via a high-resolution eye tracker (α = 0.05, power = 0.99) (dz=1.14; Samani & Heath, 2018). ",Solves for sample size (often called a priori),,No,Yes,No,,Yes,0.99,Yes,0.05,No,,d,,,Yes,1.14,t-test,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",Not sure what the primary outcome is so difficult to know what they're testing for but they have many statistical sig tests.,No,Yes,NTA,No,"Don't see why ",They don't report their sample size so difficult to know.,,
2022-06-01 18:39:39,2022-06-01 18:51:42,IP Address,171.66.12.214,100,723,True,2022-06-01 18:51:42,R_1LZJBBy14srCt2i,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC8073378,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Molecules,2021,3.267,"The required sample size was determined using mean ± SEM carrageenan-induced paw edema values between the untreated control group, and the reference treated group, based on a previously published report [20]. The calculated effect size d was 4.30 using a two-tail option on G Power V.3.1.9.4 software, Heinrich Heine University, Düsseldorf, Germany. To achieve a statistical power (1-β err prob) of 80%, and a specific α error probability of 0.05, the minimum required sample size in each group was n = 5 rats.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1.9.4,Yes,.80,Yes,.05,Yes,10,d,,,Yes,4.30,the statistical test is NOT reported,,,"they do report that it is two-tailed ",No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",many post-hoc tukey t-tests (which I think the power calc is for),No,Unsure (there's not enough information to reasonably code yes or no).,NTA,Unsure (there's not enough information to reasonably code yes or no).,NTA,,,
2022-06-01 18:52:55,2022-06-01 19:01:16,IP Address,171.66.12.214,100,501,True,2022-06-01 19:01:17,R_UT8vewyvEVQgDMB,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC6356668,No,Include,Humans,,Nutrients,2019,4.196,"A priori sample size based on G*power software (α = 0.05 and 1-β = 0.80) using satiety data from Mettler et al. (2010) [4] based on resistance training individuals consuming 2.3 g·kg−1·d−1 vs. 1 g·kg−1·d−1, estimated 14 in each group.",Solves for sample size (often called a priori),,No,Yes,No,,Yes,.80,Yes,.05,Yes,28,No,,,No,,the statistical test is NOT reported,,,,No,,Other (please describe),"alludes to previous research about sample sizes (but not necessarily related to effect size) ","No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,NTA,Unsure (there's not enough information to reasonably code yes or no).,NTA,,,
2022-06-01 19:01:19,2022-06-01 19:04:10,IP Address,171.66.12.214,100,171,True,2022-06-01 19:04:10,R_Q6yL1jybm947KZr,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC6116107,No,Include,Humans,,Sports Health,2018,NA,"The power calculations that determined the overall sample size of the randomized controlled trial were based on sagittal plane gait biomechanics and are published.43 To ensure adequate power for the analyses in this study, pretraining means and the IKDC MCID (11.5%)23 were used to determine the effect size that would detect a difference in the size of the MCID, a method used in previous articles.4 Using G*Power software v 3.1.0 (Universität Düsseldorf) calculations indicated that using a 2 × 2 (time × group) ANOVA with power = 0.95 and α = 0.05, an effect size of f(V) = 6.44 could be detected with a sample of 5 in each group.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 19:05:36,2022-05-25 19:06:05,IP Address,171.66.13.35,13,29,False,2022-06-01 19:08:46,R_3p5rXajs5VVm9zy,,,,,,,anonymous,EN-GB,Other,DELETE,d,No,Include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:01:19,2022-06-01 19:08:55,IP Address,171.66.12.239,100,456,True,2022-06-01 19:08:56,R_2TCd3952vF2rAFZ,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC8977513,No,Include,Humans,,Frontiers in Psychiatry,2022,4.157,"A sample size of at least 22 is necessary for detecting a effect with a power level of 80% and a significance level of 0.05, using a sample size calculator G*Power, based on the previously found effect size of eta squared = 0.31",Solves for sample size (often called a priori),,No,Probably,No,,Yes,0.8,Yes,0.05,Yes,22,Other: Standardized,eta-squared,,Yes,0.31,the statistical test is NOT reported,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",no clearly demarcated primary outcome,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,I don't know what power calculation they did and what their main stat test is so impossible to code.,Unsure (there's not enough information to reasonably code yes or no).,See above,There is likely an error here but the information is lacking too much to be able to assume anything.,,
2022-06-01 19:04:12,2022-06-01 19:12:03,IP Address,171.66.12.214,100,471,True,2022-06-01 19:12:03,R_1jvL4uFRif7pB84,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC5698158,No,Include,Humans,,Journal of Psychiatric Research,2018,4.183,"Third, it is possible that our study was underpowered to detect the associations being explored within this work. Nevertheless, we do not believe this to be a likely explanation: the sample size used in this study, N=112, is between the reported samples sizes for Klengel (N=76) and Tyrka (N=174) which both reported significant findings for FKBP5. Moreover, a post-hoc power calculation shows that the sample is adequately powered (86.5%) to detect medium effects sizes as determined by G*Power (Faul et al., 2009). ",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 19:10:33,2022-05-25 19:10:47,IP Address,171.66.13.35,13,14,False,2022-06-01 19:12:09,R_3iJ7FLoZGENSwlZ,,,,,,,anonymous,EN-GB,Other,o,d,No,Include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:12:05,2022-06-01 19:16:45,IP Address,171.66.12.214,100,279,True,2022-06-01 19:16:45,R_31aAcx5DRnjIKbK,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC6232898,No,Include,Humans,,Frontiers in Psychology,2018,2.321,"A sensitivity power analysis showed that this sample size gave us 80% power to detect a minimum small-to-medium-effect-size difference (η2p = 0.05 or d = 0.44) between network versus the other two conditions, at the 0.05 alpha error probability (two-tailed; Faul et al., 2009).",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:08:59,2022-06-01 19:19:48,IP Address,171.66.12.239,100,649,True,2022-06-01 19:19:48,R_3F4XzrLCuyow8b0,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC8073378,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Molecules,2021,3.267,"The required sample size was determined using mean ± SEM carrageenan-induced paw edema values between the untreated control group, and the reference treated group, based on a previously published report [20]. The calculated effect size d was 4.30 using a two-tail option on G Power V.3.1.9.4 software, Heinrich Heine University, Düsseldorf, Germany. To achieve a statistical power (1-β err prob) of 80%, and a specific α error probability of 0.05, the minimum required sample size in each group was n = 5 rats.",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.9.4,Yes,0.8,Yes,0.05,Yes,30,d,,,Yes,4.3,the statistical test is NOT reported,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).","Important to note that the effect size is huge, that it seems like their study centers around an ANOVA test with 6 groups and 6 measurements andthere are no corrections.",Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,"Don't know what their primary analysis is and I don't know what test theyre powering for.

","Likely, but I cannot be certain based on the information provided.",Well they're reporting a d effect size in their power calculation so either they conducted the wrong power calculation or input the wrong effect size into the power calculation... can't tell ...,,,
2022-06-01 19:19:49,2022-06-01 19:26:17,IP Address,171.66.12.239,100,387,True,2022-06-01 19:26:17,R_3kjDnTlsmmkN0BR,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC7759204,No,Include,Humans,,Social Cognitive and Affective Neuroscience,2020,3.662,"Sixty-four healthy adults (age: mean ± s.d. = 21.53 ± 1.95 years) participated in this study. Participants were randomly assigned to 32 same-gender pairs (16 female pairs), and the members of each pair were strangers. The sample size was determined based on the medium effect size by G*power v3.1 (Faul et al., 2009). Thirty pairs were needed to detect a reliable effect [Cohen f = 0.25, α = 0.05, 1 − β = 0.9, analysis of variance (ANOVA): repeated measures, within factors; Faul et al., 2009].",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.9,Yes,0.05,No,,f,,,Yes,0.25,ANOVA,,,"No corr among repeated measures and non non-sphericity correction. ",No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",MANY MANY analyses no adjustment of alpha,"Yes, but I cannot reasonably assume which option they used.",Yes,NTA,Unsure (there's not enough information to reasonably code yes or no).,NTA,Hard to quantify it,,
2022-06-01 19:16:48,2022-06-01 19:26:48,IP Address,171.66.12.214,100,600,True,2022-06-01 19:26:49,R_ZsOtsvv57ARWb4t,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC8977513,No,Include,Humans,,Frontiers in Psychology,2022,2.988,"A sample size of at least 22 is necessary for detecting a effect with a power level of 80% and a significance level of 0.05, using a sample size calculator G*Power, based on the previously found effect size of η2p = 0.31 (2, 5).",Solves for sample size (often called a priori),,No,Yes,No,,Yes,.80,Yes,.05,Yes,22,Other: Standardized,partial eta squared,,Yes,0.31,the statistical test is NOT reported,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,"Yes, but I cannot reasonably assume which option they used.",Unsure (there's not enough information to reasonably code yes or no).,NTA,Unsure (there's not enough information to reasonably code yes or no).,NTA,,the partial eta-squared seems very large,
2022-06-01 19:26:22,2022-06-01 19:31:38,IP Address,171.66.12.239,100,316,True,2022-06-01 19:31:38,R_1Q4PRqCstZNgIUq,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC8650968,No,Include,Humans,,Children Health Nursing Research,2020,NA,"The sample size was calculated using the G*Power 3.1.2 program [12] using an effect size of .08, significance level of ⍺=.05, degree of freedom=1, and testability oF=0.80, as in a preceding study [9]. This calculation indicated that 28 participants were needed for each group. ",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.2,No,,Yes,0.05,Yes,56,No,,,Yes,0.08,the statistical test is NOT reported,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,No,Unsure (there's not enough information to reasonably code yes or no).,NTA,Unsure (there's not enough information to reasonably code yes or no).,NTA,,,
2022-06-01 19:27:20,2022-06-01 19:38:14,IP Address,171.66.12.214,100,653,True,2022-06-01 19:38:14,R_TwnDB7MdwQxPyz7,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC7759204,No,Include,Humans,,Social Cognitive and Affective Neuroscience,2020,3.662,"Sixty-four healthy adults (age: mean ± s.d. = 21.53 ± 1.95 years) participated in this study. Participants were randomly assigned to 32 same-gender pairs (16 female pairs), and the members of each pair were strangers. The sample size was determined based on the medium effect size by G*power v3.1 (Faul et al., 2009). Thirty pairs were needed to detect a reliable effect [Cohen f = 0.25, α = 0.05, 1 − β = 0.9, analysis of variance (ANOVA): repeated measures, within factors; Faul et al., 2009]. ",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,.90,Yes,.05,Yes,60,f,,,Yes,0.25,ANOVA,,,correlation between measurements,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",They report mutiple within effects from ANOVAs (which is what they powered for),"Yes, but the researchers use the default option.",Yes,NTA,Unsure (there's not enough information to reasonably code yes or no).,NTA,"sample size of 172, rather than 28 or 46. (if we assume correlations of 0.5 and 0.7). I can't reproduce their analysis, but it very much seems to use the default option.",,
2022-06-01 19:31:42,2022-06-01 19:40:55,IP Address,171.66.12.239,100,552,True,2022-06-01 19:40:55,R_1PTdXAjUjiiGShi,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC6953853,No,Include,Humans,,PLoS One,2020,2.776,"The sample size was calculated using Gpower* software version three.

With alpha set at p < 0.05, (two-tailed) and power at 0.95, the estimated minimum sample size was calculated to be 105 participants. A total of 319 participants were recruited which exceeded the number participants required to detect significant differences and relationships by a factor of three.

The effect size was measured using Cohen’s d statistic. Consistent with the literature, we used established cut-offs of 0.2, 0.5, and 0.8 for a small, moderate, and large effect sizes respectively [28].",Solves for sample size (often called a priori),,No,Probably,Yes,3,Yes,0.95,Yes,0.05,Yes,105,d,,,Yes,"0.2,0.5,0.8",the statistical test is NOT reported,,,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",no clear primary outcome,No,No,"the main analysis that they did was using Pearsons correlations but they seemingly powered for a t-test. ",Unsure (there's not enough information to reasonably code yes or no).,NTA,Assuming that they powered for a t-test (which likely isn't what they intended) their power calculation would give a sample size of 1300 for independent sample t-test power calculation.,,
2022-06-01 19:38:36,2022-06-01 19:41:07,IP Address,171.66.12.214,100,150,True,2022-06-01 19:41:08,R_oZePcZPnCFSOhPP,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC6800851,No,Include,Humans,,Memory and Cognition,2019,1.911,"This left 435 participants for analysis (302 female; mean age = 27.53 years, SD = 12.28, range: 18–78); a priori power to detect a small effect (Cohen’s d = .30) with this size sample was calculated at .99 (G*Power Version 3.1.5; Faul, Erdfelder, Lang, & Buchner, 2007). ",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:41:05,2022-06-01 19:42:48,IP Address,171.66.12.239,100,102,True,2022-06-01 19:42:48,R_3200pyYyT7EKPwL,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC6800851,Yes,Include,Humans,,MEMORY & COGNITION,2019,1.911,"This left 435 participants for analysis (302 female; mean age = 27.53 years, SD = 12.28, range: 18–78); a priori power to detect a small effect (Cohen’s d = .30) with this size sample was calculated at .99 (G*Power Version 3.1.5; Faul, Erdfelder, Lang, & Buchner, 2007).",Other,a priori power solving calculation....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:41:10,2022-06-01 19:48:38,IP Address,171.66.12.214,100,448,True,2022-06-01 19:48:38,R_bmzX038q7s6fXe9,,,,,37.423,-122.1639,anonymous,EN-GB,RTT,,PMC8650968,No,Include,Humans,,Child Health Nursing Research,2020,NA,"The sample size was calculated using the G*Power 3.1.2 program [12] using an effect size of .08, significance level of ⍺=.05, degree of freedom=1, and testability oF=0.80, as in a preceding study [9]. This calculation indicated that 28 participants were needed for each group. Sixty participants (30 in each group) were designated in consideration of the expected dropout rate.",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.2,No,,Yes,.05,Yes,56,No,,,Yes,.08,the statistical test is NOT reported,,,"They report ""testability oF"" and degrees of freedom.",No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,NTA,"Likely, but I cannot be certain based on the information provided.",I don't see how to arrive at that sample size with any effect size of 0.08,,"Get Hugo to check my response that there is ""likely"" an error in this power calc.",
2022-06-01 19:42:54,2022-06-01 19:49:56,IP Address,171.66.12.239,100,422,True,2022-06-01 19:49:57,R_2f0w8xXCdzEWHMO,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC6356668,No,Include,Humans,,Nutrients,2019,4.196,"A priori sample size based on G*power software (α = 0.05 and 1-β = 0.80) using satiety data from Mettler et al. (2010) [4] based on resistance training individuals consuming 2.3 g·kg−1·d−1 vs. 1 g·kg−1·d−1, estimated 14 in each group",Solves for sample size (often called a priori),,No,Probably,Yes,,Yes,0.8,Yes,0.05,Yes,,No,,,No,,the statistical test is NOT reported,,,two tailed? if it's a t-test that they're powering for,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,well their main analysis was an ANOVA but they seem to be powering for a t-test. But since it's not explicit I can't tell.,"Likely, but I cannot be certain based on the information provided.","It seems likely that they used a non-standardized effect size as they indirectly imply it but it's impossible to tell with the information provided. ",,,
2022-06-01 19:50:04,2022-06-01 19:52:01,IP Address,171.66.12.239,100,116,True,2022-06-01 19:52:01,R_2txtTaTFJuYnCrT,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC6232898,No,Include,Humans,,Frontiers in Psychology,2018,2.321,"FOR THIS ONE:
A sensitivity power analysis showed that this sample size gave us 80% power to detect a minimum small-to-medium-effect-size difference (η2p = 0.05 or d = 0.44) between network versus the other two conditions, at the 0.05 alpha error probability (two-tailed; Faul et al., 2009).

FUTURE STUDY POWER CALCU.
Finally, our experiment is limited by the size and diversity of the sample. A replication with a larger sample would be ideal to detect the goal model effect on creativity more reliably. With the observed effect size, d = 0.34, this would mean about 268 people for 80% power at the 0.05 alpha error probability (two-tailed; Faul et al., 2009). Although our sample was culturally diverse (e.g., 35% White, 48% Asian), most participants were female (72%) and all were undergraduate students in Canada. Therefore, future work should explore whether the observed effect would generalize to other populations (e.g., people in different countries, of different ages, or in different occupations).

",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:52:22,2022-06-01 19:54:28,IP Address,171.66.12.239,100,126,True,2022-06-01 19:54:28,R_3gOvAQ8Ai5QtIZK,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC6116107,No,Include,Humans,,SPORTS,2018,NA,"The power calculations that determined the overall sample size of the randomized controlled trial were based on sagittal plane gait biomechanics and are published.43 To ensure adequate power for the analyses in this study, pretraining means and the IKDC MCID (11.5%)23 were used to determine the effect size that would detect a difference in the size of the MCID, a method used in previous articles.4 Using G*Power software v 3.1.0 (Universität Düsseldorf) calculations indicated that using a 2 × 2 (time × group) ANOVA with power = 0.95 and α = 0.05, an effect size of f(V) = 6.44 could be detected with a sample of 5 in each group.",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01 19:54:32,2022-06-01 19:56:50,IP Address,171.66.12.239,100,137,True,2022-06-01 19:56:50,R_2ffbTwW2kC0RpDR,,,,,37.423,-122.1639,anonymous,EN-GB,EZ,,PMC5698158,No,Include,Humans,,JOURNAL OF PSYCHIATRIC RESEARCH,2018,4.183,"Moreover, a post-hoc power calculation shows that the sample is adequately powered (86.5%) to detect medium effects sizes as determined by G*Power (Faul et al., 2009). ",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
