id,coder,coder_number,coder_text,pmcid,protocol,include,participants,participants_text,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,power_calc_type_text,multiple,stats_knowledge,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general
31,EZ/RTT,,,PMC5357186,No,Include,Humans,,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,LIPPINCOTT WILLIAMS & WILKINS,2017,4.041,"Using data from Poole et al (32), we estimated that a sample size of 16 participants would detect differences between incremental and verification tests at 80% power (α = 0.05; effect size = 0.759; two tailed hypothesis; based on a t test analysis) (15). The sample size of this study is comparable to other studies that have examined differences in V̇O2 between incremental and verification tests (7, 22, 38)",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),,Yes,16,No,,,Yes,0.759,t-test,,,independent or paired,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",assumed a paired t-test,Previously published research,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",They compare the incremental and verification tests as their primary test...,No,Yes,Table 2: Incremental vs verification within each group.,No,"However, their sample sizes are 12 and 11 per group. There power calc says they need 16 PER GROUP.",,,
31,resolveNotes,,,,,,,,,,,,,HP agrees this calculation solves for sample size,,,,,,,,,,,,,,,,,,,,,see screenshot ,,Data from Poole...,,tb,,,tb,,,,,,
32,EZ,1,,PMC5895808,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Scientific reports,,2018,4.259,"Specifically, power analysis suggested that a total of 27 C57BL/6J or 18 CBA/J mice would be needed to reach statistical significance in the relationship between outflow resistance and TM stiffness for each strain individually (α = 0.05, power = 0.9; for C57BL/6J, effect size = 0.43; for CBA/J, effect size = 0.67, GPower software). Overall, this result suggests that there is an inherent relationship between the mechanical properties of TM and outflow resistance in these mice.",Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,RTT,2,,PMC5895808,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,scientific reports,,2018,2.263,"Specifically, power analysis suggested that a total of 27 C57BL/6J or 18 CBA/J mice would be needed to reach statistical significance in the relationship between outflow resistance and TM stiffness for each strain individually (α = 0.05, power = 0.9; for C57BL/6J, effect size = 0.43; for CBA/J, effect size = 0.67, GPower software).",Other,solves for sample size after the study is completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,EZ/RTT,,,PMC5895808,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,scientific reports,NATURE PORTFOLIO,2018,4.259,"Specifically, power analysis suggested that a total of 27 C57BL/6J or 18 CBA/J mice would be needed to reach statistical significance in the relationship between outflow resistance and TM stiffness for each strain individually (α = 0.05, power = 0.9; for C57BL/6J, effect size = 0.43; for CBA/J, effect size = 0.67, GPower software).",Other,solves for sample size after the study is completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,resolveNotes,,,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,EZ,1,,PMC5936060,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Biology Open,,2018,2.095,"The post-hoc power of the tests and required sample sizes were determined with G*Power software (version 3.0.10) (Faul et al., 2007).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,RTT,2,,PMC5936060,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Biology Open,,2018,NA,"The power of the t-test to detect the difference at 0.05 level was 63%...The post-hoc power of the tests and required sample sizes were determined with G*Power software (version 3.0.10) (Faul et al., 2007).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,EZ/RTT,,,PMC5936060,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Biology Open,COMPANY BIOLOGISTS LTD,2018,2.095,"The power of the t-test to detect the difference at 0.05 level was 63%...The post-hoc power of the tests and required sample sizes were determined with G*Power software (version 3.0.10) (Faul et al., 2007).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,resolveNotes,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,EZ,1,,PMC6291667,No,Include,Humans,,AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,,2018,1.109,"A post hoc power analysis was completed using G*Power (Version 3.1 Dusseldorf, Germany) statistical software and found to be 93% for the pre/post survey and 95% for the follow-up survey, both with a relatively small effect size (.25)",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,RTT,2,,PMC6291667,No,Include,Humans,,american journal of pharmaceutical education,,2018,1.109,"A post hoc power analysis was completed using G*Power (Version 3.1 Dusseldorf, Germany) statistical software and found to be 93% for the pre/post survey and 95% for the follow-up survey, both with a relatively small effect size (.25).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,EZ/RTT,,,PMC6291667,No,Include,Humans,,american journal of pharmaceutical education,AMER ASSOC COLL PHARMACY,2018,1.109,"A post hoc power analysis was completed using G*Power (Version 3.1 Dusseldorf, Germany) statistical software and found to be 93% for the pre/post survey and 95% for the follow-up survey, both with a relatively small effect size (.25).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EZ,1,,PMC6547534,No,Include,Humans,,BMC Anesthesiology,,2019,1.788,"With the assumption of a 30% difference between groups and by using G power software (version 3.1.3, Heinrich-Heine-Universität, Düsseldorf Germany) with power of 0.8 and 0.05 alpha error, the sample size was 27 per group, rolled up to 30 to allow for possible dropouts",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.3,Yes (0.80),,Yes (0.05),,Yes,54,"Other: Non-standardized (e.g., 5 points on a questionnaire scale).",,,Yes,0.3,t-test,,,Allocation ratio (but can be assumed to be 1),No,,"Previously published research,No justification or basis is reported",,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,No,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,Don't know what test they did exactly because I can't reproduce the power calculation....,,,
35,RTT,2,,PMC6547534,No,Include,Humans,,BMC Anesthesiology,,2019,1.788,"Data for 10 patients from our centre showed that the mean ± SD of the lung score of these patients subjected to non-ultrafiltration was 13.1 ± 5. With the assumption of a 30% difference between groups and by using G power software (version 3.1.3, Heinrich-Heine-Universität, Düsseldorf Germany) with power of 0.8 and 0.05 alpha error, the sample size was 27 per group, rolled up to 30 to allow for possible dropouts.",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.3,Yes (0.80),,Yes (0.05),,Yes,56,"Other: Non-standardized (e.g., 5 points on a questionnaire scale).",,30% difference,Yes,30% difference,the statistical test is NOT reported,,,They report several tests and then their power calc. It's unclear which test they use.,No,,No justification or basis is reported,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",They have aprimary outcome,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,It's unclear how they calculated the effect size. It appears they did from the 13.1 +/- 5 and 30% dif.,,,
35,EZ/RTT,,,PMC6547534,No,Include,Humans,,BMC Anesthesiology,BMC,2019,1.788,"Data for 10 patients from our centre showed that the mean ± SD of the lung score of these patients subjected to non-ultrafiltration was 13.1 ± 5. With the assumption of a 30% difference between groups and by using G power software (version 3.1.3, Heinrich-Heine-Universität, Düsseldorf Germany) with power of 0.8 and 0.05 alpha error, the sample size was 27 per group, rolled up to 30 to allow for possible dropouts.",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.3,Yes (0.80),,Yes (0.05),,Yes,54,"Other: Non-standardized (e.g., 5 points on a questionnaire scale).",,30% difference,Yes,30% difference,the statistical test is NOT reported,,,They report several tests and then their power calc. It's unclear which test they use.,No,,No justification or basis is reported,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",They have aprimary outcome,No,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,It's unclear how they calculated the effect size. It appears they did from the 13.1 +/- 5 and 30% dif.,,,
35,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc,nc,,,,,,nc,,,,nc,,,,,,,
36,EZ,1,,PMC6684868,No,Include,Humans,,Seminars in Thoracic and Cardiovascular Surgery,,2019,NA,"For FCM expert analysis study, an a-priori power analysis (G*Power 3.1.9.2, University of Duesseldorf) was performed.23 A minimum sample size of 81 per group was estimated to achieve statistical power of 0.8 and detect an effect across the 2 groups with medium effect size of 0.4 and significance criteria of 0.05",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.9.2,Yes (0.80),,Yes (0.05),,Yes,162,No,,,Yes,0.4,the statistical test is NOT reported,,,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",no statistical tests at all from what i can see,No,No,,Unsure (there's not enough information to reasonably code yes or no).,,,,
36,RTT,2,,PMC6684868,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Seminars in Thoracic and Cardiovascular Surgery,,2019,NA,"For FCM expert analysis study, an a-priori power analysis (G*Power 3.1.9.2, University of Duesseldorf) was performed.23 A minimum sample size of 81 per group was estimated to achieve statistical power of 0.8 and detect an effect across the 2 groups with medium effect size of 0.4 and significance criteria of 0.05",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.9.2,Yes (0.80),,Yes (0.05),,Yes,81,No,,,Yes,0.4,the statistical test is NOT reported,,,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,Unsure,They have 8 examiners each looking at 81 images.,No,No,"There is no inferential test regarding the ""expert analysis""",Yes,"They calculate an effect size, but only present specificity and sensitivity.",,This is a bit weird in that they test 8 participants with 81 samples per group. So the power calc is for the performance of a single examiner.,
36,EZ/RTT,,,PMC6684868,No,Include,Non-human animals (this includes both in vivo and in vitro studies),,Seminars in Thoracic and Cardiovascular Surgery,ELSEVIER INC,2019,NA,"For FCM expert analysis study, an a-priori power analysis (G*Power 3.1.9.2, University of Duesseldorf) was performed.23 A minimum sample size of 81 per group was estimated to achieve statistical power of 0.8 and detect an effect across the 2 groups with medium effect size of 0.4 and significance criteria of 0.05",Solves for sample size (often called a priori),,No,Probably,Yes,3.1.9.2,Yes (0.80),,Yes (0.05),,Yes,162,No,,,Yes,0.4,the statistical test is NOT reported,,,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",no statistical tests at all from what i can see,No,No,"There is no inferential test regarding the ""expert analysis""",Yes,"They calculate an effect size, but only present specificity and sensitivity.",,This is a bit weird in that they test 8 participants with 81 samples per group. So the power calc is for the performance of a single examiner.,
36,resolveNotes,,,,,,nc,,,,,,,,,,,,,,,,,,nc,,,,,,,,,,,,,,tb,,,,,,,,,
37,EZ,1,,PMC6948945,No,Include,Humans,,The Journal of Neuroscience,,2020,6.074,"To detect the effectiveness of sample size for exploring the cue-based expectancy effects on pain, we performed a power analysis for F tests using G*power (a free online software for power analysis; available at http://www.gpower.hhu.de/en.html) and set statistical power at 0.8 with a medium effect size (f = 0.25) and significance level at 0.05 (Cunningham and McCrum-Gardner, 2007). The result showed a minimum sample size of 28 for detecting main effects. As for the power to determine the effects of conditioned expectation on brain responses, the sample size of our study was determined based on the sample sizes of previous studies that similarly aimed to investigate expectancy-based pain modulation using fMRI techniques (Wager et al., 2004, 2011; Atlas et al., 2010; Jensen et al., 2015).",Solves for sample size (often called a priori),,No,Probably,No,,Yes (0.80),,Yes (0.05),,Yes,28,f,,,Yes,0.25,the statistical test is NOT reported,,,Presumably an ANOVA so they should do corr among rep measures and nonsphericity correction,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but I cannot reasonably assume which option they used.",Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,,
37,RTT,2,,PMC6948945,No,Include,Humans,,Journal of Neuroscience,,2020,6.074,"To detect the effectiveness of sample size for exploring the cue-based expectancy effects on pain, we performed a power analysis for F tests using G*power (a free online software for power analysis; available at http://www.gpower.hhu.de/en.html) and set statistical power at 0.8 with a medium effect size (f = 0.25) and significance level at 0.05 (Cunningham and McCrum-Gardner, 2007). The result showed a minimum sample size of 28 for detecting main effects. As for the power to determine the effects of conditioned expectation on brain responses, the sample size of our study was determined based on the sample sizes of previous studies that similarly aimed to investigate expectancy-based pain modulation using fMRI techniques (Wager et al., 2004, 2011; Atlas et al., 2010; Jensen et al., 2015).",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),,Yes,28,f,,,Yes,0.25,the statistical test is NOT reported,,,"number of groups, correlation between repeared measures, type of test","Yes, but I've had to make some assumptions. (please list the assumptions you made)",one-way repeated measures ANOVA with 3 levels (based on text lated in the article),"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option without accounting for it (e.g., powering for a ""medium"" effect size by entering f = 0.25).",Yes,,Unsure (there's not enough information to reasonably code yes or no).,It looks like the sample size calc is performed after the study.,,They do another sample size justification based on similar size samples in other studies.,
37,EZ/RTT,,,PMC6948945,No,Include,Humans,,Journal of Neuroscience,SOC NEUROSCIENCE,2020,6.074,"To detect the effectiveness of sample size for exploring the cue-based expectancy effects on pain, we performed a power analysis for F tests using G*power (a free online software for power analysis; available at http://www.gpower.hhu.de/en.html) and set statistical power at 0.8 with a medium effect size (f = 0.25) and significance level at 0.05 (Cunningham and McCrum-Gardner, 2007). The result showed a minimum sample size of 28 for detecting main effects. As for the power to determine the effects of conditioned expectation on brain responses, the sample size of our study was determined based on the sample sizes of previous studies that similarly aimed to investigate expectancy-based pain modulation using fMRI techniques (Wager et al., 2004, 2011; Atlas et al., 2010; Jensen et al., 2015).",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),,Yes,28,f,,,Yes,0.25,the statistical test is NOT reported,,,"number of groups, correlation between repeared measures, type of test","Yes, but I've had to make some assumptions. (please list the assumptions you made)",one-way repeated measures ANOVA with 3 levels (based on text lated in the article),"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option without accounting for it (e.g., powering for a ""medium"" effect size by entering f = 0.25).",Yes,,Unsure (there's not enough information to reasonably code yes or no).,It looks like the sample size calc is performed after the study.,,They do another sample size justification based on similar size samples in other studies.,
37,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nc,,,,,,nc,,,,,,,
38,EZ,1,,PMC7709445,No,Include,Humans,,BMC Pregnancy and Childbirth,,2020,2.413,"We note that although the sample size of our study was calculated before it began, the study’s power was determined after it finished. In a post-hoc power analysis for FXII concentration between GDM, M and C groups with the F-test formula of the G-Power 3.1.9.3 program (Heinrich Heine Universität Dusseldorf, 2017), the power of the study was found to be 80% with an effect size of 0.38 at an α-level of 0.05.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,RTT,2,,PMC7709445,No,Include,Humans,,BMC Pregnancy and Childbirth,,2020,2.413,"We note that although the sample size of our study was calculated before it began, the study’s power was determined after it finished. In a post-hoc power analysis for FXII concentration between GDM, M and C groups with the F-test formula of the G-Power 3.1.9.3 program (Heinrich Heine Universität Dusseldorf, 2017), the power of the study was found to be 80% with an effect size of 0.38 at an α-level of 0.05.",Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,EZ/RTT,,,PMC7709445,No,Include,Humans,,BMC Pregnancy and Childbirth,BMC,2020,2.413,"We note that although the sample size of our study was calculated before it began, the study’s power was determined after it finished. In a post-hoc power analysis for FXII concentration between GDM, M and C groups with the F-test formula of the G-Power 3.1.9.3 program (Heinrich Heine Universität Dusseldorf, 2017), the power of the study was found to be 80% with an effect size of 0.38 at an α-level of 0.05.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,resolveNotes,,,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,EZ,1,,PMC8097040,No,Include,Humans,,Frontiers in Psychiatry,,2021,2.849,"Finally, a post-hoc power analysis was conducted using G*Power (35).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,RTT,2,,PMC8097040,No,Include,Humans,,Frontiers in Psychiatry,,2021,2.849,"Finally, a post-hoc power analysis was conducted using G*Power (35)...There are however significant limitations that should be mentioned. First, genotype and phenotypic stratification within a small sample size of this study limited both power and generalizability of our results. Nonetheless, a post-hoc power analysis revealed that using an α error probability of 0.05, our sample of 145 subjects yielded a power of 78% of detecting an Effect Size f2 = 0.052; this result is very close to the power of 80% that is conventionally accepted as appropriate for most studies.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,EZ/RTT,,,PMC8097040,No,Include,Humans,,Frontiers in Psychiatry,FRONTIERS MEDIA SA,2021,2.849,"Finally, a post-hoc power analysis was conducted using G*Power (35)...There are however significant limitations that should be mentioned. First, genotype and phenotypic stratification within a small sample size of this study limited both power and generalizability of our results. Nonetheless, a post-hoc power analysis revealed that using an α error probability of 0.05, our sample of 145 subjects yielded a power of 78% of detecting an Effect Size f2 = 0.052; this result is very close to the power of 80% that is conventionally accepted as appropriate for most studies.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,EZ,1,,PMC8619818,No,Include,Humans,,Nutrients,,2021,4.546,"The minimum age for participation was 18 years. The power analysis showed that a minimum of 226 participants was required to achieve a significant outcome (Effect size w: 0.1865710, α err prob: 0.05, Power: 0.80) [38]. The study was approved by the ethics committee of UZ Brussel (Protocol EMLS2020–B1432020000102.",Solves for sample size (often called a priori),,No,Probably,No,,Yes (0.80),,Yes (0.05),,Yes,226,w,,,Yes,0.186571,the statistical test is NOT reported,,,degrees of freedom.,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",df=1,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,,
40,RTT,2,,PMC8619818,No,Include,Humans,,nutrients,,2021,4.546,"The power analysis showed that a minimum of 226 participants was required to achieve a significant outcome (Effect size w: 0.1865710, α err prob: 0.05, Power: 0.80) [38].",Solves for sample size (often called a priori),,No,Probably,No,,Yes (0.80),,Yes (0.05),,Yes,226,w,,,Yes,0.186571,the statistical test is NOT reported,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",That they used a Goodness-of-fit test in GPower and that they entered Df = 1 (which doesn't align with the statistical tests they performed),No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Unsure (there's not enough information to reasonably code yes or no).,I can't be fully confident that the calculation I reproduced is what they did.,"Likely, but I cannot be certain based on the information provided.","If the calculation I reproduced is what they did, then they mispowered for only 1 df when that's not the case in their analyses. Also it looks like they did this power calculation after they ran the study, because they had 1129 respondents.",if df = 4 (2 groups x 5 response options) than they require 343 participants instead of the 226 they calculated.,,"Many articles from this journal (Nutrients), I wonder if their author guidelines requires power calcs."
40,EZ/RTT,,,PMC8619818,No,Include,Humans,,nutrients,MDPI,2021,4.546,"The power analysis showed that a minimum of 226 participants was required to achieve a significant outcome (Effect size w: 0.1865710, α err prob: 0.05, Power: 0.80) [38].",Solves for sample size (often called a priori),,No,Probably,No,,Yes (0.80),,Yes (0.05),,Yes,226,w,,,Yes,0.186571,the statistical test is NOT reported,,,degrees of freedom.,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",That they used a Goodness-of-fit test in GPower and that they entered Df = 1 (which doesn't align with the statistical tests they performed),No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Unsure (there's not enough information to reasonably code yes or no).,I can't be fully confident that the calculation I reproduced is what they did.,"Likely, but I cannot be certain based on the information provided.","If the calculation I reproduced is what they did, then they mispowered for only 1 df when that's not the case in their analyses. Also it looks like they did this power calculation after they ran the study, because they had 1129 respondents.",if df = 4 (2 groups x 5 response options) than they require 343 participants instead of the 226 they calculated.,,"Many articles from this journal (Nutrients), I wonder if their author guidelines requires power calcs."
40,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tb,,tb,,,,
42,EZ,1,,PMC6138947,No,Include,Humans,,Heliyon,,2018,NA,"Statistical analyses were performed using add-in software for Excel, Statcel3 (The Publisher OMS Ltd., Tokyo, Japan). A p-value of 0.05 was considered statistically significant for all analyses. Effect sizes were calculated using G*Power, which is a free power analysis program for a variety of statistical tests [18, 19], in post-hoc analyses upon the completion of all experiments. Cohen's d is a measure of the standardized mean difference (difference in group means divided by the pooled standard deviation).",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,RTT,2,,PMC6138947,No,Include,Humans,,Heliyon,,2018,NA,"A p-value of 0.05 was considered statistically significant for all analyses. Effect sizes were calculated using G*Power, which is a free power analysis program for a variety of statistical tests [18, 19], in post-hoc analyses upon the completion of all experiments. Cohen's d is a measure of the standardized mean difference (difference in group means divided by the pooled standard deviation).",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,EZ/RTT,,,PMC6138947,No,Include,Humans,,Heliyon,ELSEVIER SCI LTD,2018,NA,"A p-value of 0.05 was considered statistically significant for all analyses. Effect sizes were calculated using G*Power, which is a free power analysis program for a variety of statistical tests [18, 19], in post-hoc analyses upon the completion of all experiments. Cohen's d is a measure of the standardized mean difference (difference in group means divided by the pooled standard deviation).",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,EZ,1,,PMC6361694,No,Include,Humans,,MEMORY,,2019,1.873,"A minimum number of participants required was determined by an a priori power analysis (GPower; Faul, Edgar Erdfelder, & Buchner, 2007). Because we were looking for a novel interaction effect based on verbal cues, we did not have a clear way to estimate power. As such, we based our power analyses on aligned vs. misaligned pointing error studied in previous literature (Mou & McNamara, 2002) as we expected alignment effects to differ based upon verbal cues. The power analysis indicated each experiment required 40 participants to have 80% power to detect a medium-sized effect between aligned versus misaligned pointing error when employing an alpha of 0.05",Solves for sample size (often called a priori),,No,Probably,No,,Yes (0.80),,Yes (0.05),,Yes,40,No,,,No,,the statistical test is NOT reported,,,,No,,"Reference to other study to justify their calculation in general, but not specifically their chosen effect size (e.g., they may not state the effect size)",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
43,RTT,2,,PMC6361694,No,Include,Humans,,Memory,,2019,1.873,"A minimum number of participants required was determined by an a priori power analysis (GPower; Faul, Edgar Erdfelder, & Buchner, 2007). Because we were looking for a novel interaction effect based on verbal cues, we did not have a clear way to estimate power. As such, we based our power analyses on aligned vs. misaligned pointing error studied in previous literature (Mou & McNamara, 2002) as we expected alignment effects to differ based upon verbal cues. The power analysis indicated each experiment required 40 participants to have 80% power to detect a medium-sized effect between aligned versus misaligned pointing error when employing an alpha of 0.05.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),,Yes,40,No,,,No,,the statistical test is NOT reported,,,,No,,"Reference to other study to justify their calculation in general, but not specifically their chosen effect size (e.g., they may not state the effect size)",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,"It appears the authors don't understand power analyses well. They ""did not have a clear way to estimate power.""",
